ID,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
1,no,no,yes,yes,no,no,4,3,4,1,1,3,6,,6,6
2,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6
3,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10
4,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
5,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10
6,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15
7,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11
8,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6
9,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,,,19
10,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15
11,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9
12,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12
13,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14
14,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11
15,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16
16,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14
17,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14
18,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
19,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5
20,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
21,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15
22,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15
23,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
24,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
25,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8
26,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
27,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11
28,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15
29,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11
30,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11
31,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12
32,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17
33,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16
34,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12
35,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15
36,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6
37,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18
38,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15
39,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11
40,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13
41,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11
42,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12
43,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18
44,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11
45,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9
46,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
47,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11
48,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20
49,yes,no,yes,yes,no,no,4,3000,3,2,2,5,2,15,15,14
